SEASON,TEAM,FTM,FTA,PF,PFD,"%PTS
FT",PACE,PFD/POSS,FTA/POSS,FTA/PFD
2003-04,Phoenix Suns,17,22.7,22.7,19.4,18,93.73,20.6977,24.21849995,1.170103093
2003-04,Portland Trail Blazers,15.4,21.1,19,18.7,17,87.57,21.3543,24.09500971,1.128342246
2003-04,Sacramento Kings,19.8,24.9,19.3,22.2,19.3,94.28,23.5469,26.41069156,1.121621622
2003-04,San Antonio Spurs,17.2,25.2,20.3,22.4,18.8,90.24,24.8227,27.92553191,1.125
2003-04,Seattle SuperSonics,16.6,21.7,21.8,20.2,17.1,91.35,22.1128,23.75478927,1.074257426
2003-04,Toronto Raptors,15.1,20.1,21.3,19.7,17.7,88.28,22.3154,22.76846398,1.020304569
2003-04,Utah Jazz,20,26.8,25.6,24.4,22.5,88.27,27.6425,30.36139119,1.098360656
2003-04,Washington Wizards,19.3,27,20.9,21.7,21,93.91,23.1072,28.75093174,1.244239631
2004-05,Atlanta Hawks,17.3,24.3,24.5,21.7,18.6,93.12,23.3033,26.09536082,1.119815668
2004-05,Boston Celtics,21.6,28.3,24.4,23.6,21.4,94.66,24.9313,29.89647158,1.199152542
2004-05,Charlotte Bobcats,18.1,25.6,23.1,22.7,19.2,93.56,24.2625,27.36212056,1.127753304
2004-05,Chicago Bulls,18.7,25,24.7,23.3,19.8,93.43,24.9385,26.75800064,1.072961373
2004-05,Cleveland Cavaliers,19.9,26.5,22.6,21.6,20.6,90.76,23.7990,29.19788453,1.226851852
2004-05,Dallas Mavericks,22.3,28.2,22.3,23.2,21.7,94.18,24.6337,29.94266299,1.215517241
2004-05,Denver Nuggets,21.5,28.2,22.9,23.9,21.6,94.68,25.2429,29.78453739,1.179916318
2004-05,Detroit Pistons,19.4,26.2,20,22.6,20.8,88.63,25.4993,29.56109669,1.159292035
2004-05,Golden State Warriors,17.2,23.8,22.4,21.7,17.4,94.49,22.9654,25.18785057,1.096774194
2004-05,Houston Rockets,18.9,24.2,22,21.6,19.9,90.2,23.9468,26.82926829,1.12037037
2004-05,Indiana Pacers,21.3,26.9,23,23,22.9,88.74,25.9184,30.31327474,1.169565217
2004-05,Los Angeles Clippers,21.6,27.7,22.2,23.6,22.6,90.7,26.0198,30.54024256,1.173728814
2004-05,Los Angeles Lakers,20.3,26.1,21.9,22.1,20.5,92.35,23.9307,28.26204656,1.180995475
2004-05,Memphis Grizzlies,18.6,24.7,23.3,22.6,19.9,89.65,25.2091,27.55158951,1.092920354
2004-05,Miami Heat,20.2,30.1,22.1,24.6,19.9,91.78,26.8032,32.79581608,1.223577236
2004-05,Milwaukee Bucks,21,27.2,21.9,23.8,21.6,92.15,25.8275,29.5170917,1.142857143
2004-05,Minnesota Timberwolves,17.7,22.2,21.6,19.9,18.3,90.4,22.0133,24.55752212,1.115577889
2004-05,New Jersey Nets,19,24.9,24.2,22.9,20.7,90.44,25.3207,27.53206546,1.087336245
2004-05,New Orleans Hornets,17.1,22.3,23,21.1,19.3,89.01,23.7052,25.05336479,1.056872038
2004-05,New York Knicks,19.3,25.1,23.7,21.2,19.8,92.15,23.0060,27.23819859,1.183962264
2004-05,Orlando Magic,21.6,28.5,23.6,23.4,21.7,96.16,24.3344,29.63810316,1.217948718
2004-05,Philadelphia 76ers,21.1,26.8,22.9,23.5,21.3,96.59,24.3296,27.74614349,1.140425532
2004-05,Phoenix Suns,19,25.4,19.1,21.3,17.2,97.37,21.8753,26.08606347,1.192488263
2004-05,Portland Trail Blazers,17.2,23.7,20.8,20.4,18.5,91.05,22.4053,26.02965404,1.161764706
2004-05,Sacramento Kings,19.2,24.4,20.5,21.5,18.5,94.54,22.7417,25.8091813,1.134883721
2004-05,San Antonio Spurs,18.7,25.9,20.9,23.1,19.5,90,25.6667,28.77777778,1.121212121
2004-05,Seattle SuperSonics,20.5,26,23.7,23.8,20.7,89.25,26.6667,29.13165266,1.092436975
2004-05,Toronto Raptors,19.8,25.6,22.9,21.9,19.9,94.02,23.2929,27.22824931,1.168949772
2004-05,Utah Jazz,21,27.7,26.7,25.1,22.5,90.02,27.8827,30.77093979,1.103585657
2004-05,Washington Wizards,21.9,30.2,22,24.3,21.8,94.82,25.6275,31.84982071,1.242798354
2005-06,Atlanta Hawks,20.2,26.9,25,22.6,20.8,91.79,24.6214,29.30602462,1.190265487
2005-06,Boston Celtics,20.3,26.9,24.8,22.4,20.7,93.3,24.0086,28.83172562,1.200892857
2005-06,Charlotte Bobcats,19.4,26.7,23.9,23.5,20.1,94.6,24.8414,28.22410148,1.136170213
2005-06,Chicago Bulls,17.7,24,24.9,23,18.1,93.61,24.5700,25.63828651,1.043478261
2005-06,Cleveland Cavaliers,20.6,28.3,21.1,22.5,21.1,90.78,24.7852,31.17426746,1.257777778
2005-06,Dallas Mavericks,22.2,28.3,22.4,23.6,22.4,89.31,26.4248,31.68738103,1.199152542
2005-06,Denver Nuggets,21,28.2,22.7,23.3,20.9,94.93,24.5444,29.70609923,1.210300429
2005-06,Detroit Pistons,17.3,23.8,18.5,20.9,17.9,87.99,23.7527,27.04852824,1.138755981
2005-06,Golden State Warriors,19.2,26.7,23.7,23.4,19.5,94.46,24.7724,28.26593267,1.141025641
2005-06,Houston Rockets,18.3,24.1,22.7,20.9,20.3,89.1,23.4568,27.04826038,1.153110048
2005-06,Indiana Pacers,19.4,26.3,22.2,22,20.7,90.86,24.2131,28.94563064,1.195454545
2005-06,Los Angeles Clippers,20.7,26.1,22.8,21.7,21.3,93.02,23.3283,28.05848205,1.202764977
2005-06,Los Angeles Lakers,19.7,26.5,23.1,23.5,19.8,92.26,25.4715,28.72317364,1.127659574
2005-06,Memphis Grizzlies,18,25.3,21.4,22.8,19.5,87.42,26.0810,28.94074582,1.109649123
2005-06,Miami Heat,19.7,28.2,22.8,23.6,19.7,92.57,25.4942,30.46343308,1.194915254
2005-06,Milwaukee Bucks,19,25.8,23.2,23.6,19.5,92.48,25.5190,27.89792388,1.093220339
2005-06,Minnesota Timberwolves,17.5,23.1,23,21.2,19.1,89.61,23.6581,25.77837295,1.089622642
2005-06,New Jersey Nets,20.2,26.7,23.2,23,21.6,91.18,25.2248,29.28273744,1.160869565
2005-06,New Orleans/Oklahoma City Hornets,20.1,26.5,21.8,23.3,21.7,90.34,25.7915,29.33362851,1.137339056
2005-06,New York Knicks,22.9,31.5,26.3,25,23.9,92.07,27.1533,34.21309873,1.26
2005-06,Orlando Magic,20.3,27.8,23.3,23.2,21.4,89.15,26.0236,31.18339877,1.198275862
2005-06,Philadelphia 76ers,21.6,28.4,20.9,23.1,21.7,93.96,24.5849,30.22562793,1.229437229
2005-06,Phoenix Suns,14.5,18,20.5,19.8,13.4,96.94,20.4250,18.56818651,0.9090909091
2005-06,Portland Trail Blazers,16.3,23.7,22.3,20.8,18.4,88.88,23.4023,26.66516652,1.139423077
2005-06,Sacramento Kings,20.8,26.5,20.4,22.8,21,93.27,24.4452,28.41213681,1.162280702
2005-06,San Antonio Spurs,16.2,23.1,20.9,20.6,16.9,89.43,23.0348,25.8302583,1.121359223
2005-06,Seattle SuperSonics,20.1,25.7,23.6,22.2,19.6,93.06,23.8556,27.61659145,1.157657658
2005-06,Toronto Raptors,20.2,25.5,24,22.4,19.9,92.36,24.2529,27.6093547,1.138392857
2005-06,Utah Jazz,21.6,30.1,24.8,25.7,23.4,89.43,28.7376,33.6576093,1.171206226
2005-06,Washington Wizards,23,30.4,22.6,25,22.7,93.69,26.6837,32.44743302,1.216
2006-07,Atlanta Hawks,20.5,26.9,24,22.6,21.8,91.01,24.8324,29.55719152,1.190265487
2006-07,Boston Celtics,20.4,26.6,24,21.4,21.3,92.94,23.0256,28.62061545,1.242990654
2006-07,Charlotte Bobcats,19.1,26,24.2,21.8,19.7,93.16,23.4006,27.90897381,1.19266055
2006-07,Chicago Bulls,18.6,25.4,23.3,23.2,18.9,94.48,24.5555,26.88399661,1.094827586
2006-07,Cleveland Cavaliers,18.1,26,21.7,22,18.7,91.64,24.0070,28.37189,1.181818182
2006-07,Dallas Mavericks,20.1,24.9,22.4,22.1,20.1,90.69,24.3687,27.45616937,1.126696833
2006-07,Denver Nuggets,22.3,29.9,21.4,23.7,21.1,98.23,24.1270,30.43876616,1.261603376
2006-07,Detroit Pistons,18.8,24.2,20.4,20.3,19.6,88.59,22.9146,27.31685292,1.192118227
2006-07,Golden State Warriors,18.5,25.8,23.6,22.3,17.3,99.97,22.3067,25.80774232,1.156950673
2006-07,Houston Rockets,17.5,23.2,20.9,19.9,18.1,91.73,21.6941,25.2916167,1.165829146
2006-07,Indiana Pacers,19.7,25.9,23.3,23.7,20.6,93.45,25.3612,27.71535581,1.092827004
2006-07,Los Angeles Clippers,21.6,27.4,22.7,22.3,22.6,91.92,24.2602,29.80852916,1.228699552
2006-07,Los Angeles Lakers,20.2,27.1,23,23.4,19.6,94.63,24.7279,28.63785269,1.158119658
2006-07,Memphis Grizzlies,22.4,29.4,22.3,24.3,22,94.8,25.6329,31.01265823,1.209876543
2006-07,Miami Heat,17,24.6,21.3,21.8,18,90.65,24.0485,27.13734142,1.128440367
2006-07,Milwaukee Bucks,17.1,23.4,22.2,21,17.2,93.35,22.4960,25.06695233,1.114285714
2006-07,Minnesota Timberwolves,18.3,23.1,21.4,20.5,19,92.25,22.2222,25.04065041,1.126829268
2006-07,New Jersey Nets,19.1,26.3,22.8,23,19.6,92.73,24.8032,28.36191092,1.143478261
2006-07,New Orleans/Oklahoma City Hornets,17.5,23.7,19.8,21.1,18.3,91.21,23.1334,25.98399298,1.123222749
2006-07,New York Knicks,20.9,29.2,23.6,22.9,21.4,91.94,24.9075,31.75984338,1.27510917
2006-07,Orlando Magic,20.5,29.2,23.2,23.4,21.6,90.56,25.8392,32.24381625,1.247863248
2006-07,Philadelphia 76ers,20,26,20.4,22,21,91.85,23.9521,28.30702232,1.181818182
2006-07,Phoenix Suns,18,22.3,20.2,21.5,16.3,96.49,22.2821,23.11120323,1.037209302
2006-07,Portland Trail Blazers,18.8,24.5,23.5,21.3,20,89.39,23.8282,27.40798747,1.150234742
2006-07,Sacramento Kings,23.1,30.2,21.9,24.3,22.8,95.85,25.3521,31.5075639,1.242798354
2006-07,San Antonio Spurs,18.1,24.1,19.4,21.2,18.4,90.24,23.4929,26.70656028,1.136792453
2006-07,Seattle SuperSonics,18.4,23.3,22,19.9,18.6,92.93,21.4140,25.07263532,1.170854271
2006-07,Toronto Raptors,19,24.2,20.4,21.8,19.1,93.87,23.2236,25.78033451,1.110091743
2006-07,Utah Jazz,22.3,30,25.2,24.5,22,92.84,26.3895,32.31365791,1.224489796
2006-07,Washington Wizards,22.6,29.6,22.2,23.5,21.7,95.35,24.6460,31.04352386,1.259574468
2007-08,Atlanta Hawks,21,27.2,5.1,20.4,21.4,92.37,22.0851,29.44679008,1.333333333
2007-08,Boston Celtics,20.5,26.5,4.7,22.7,20.3,91.88,24.7061,28.84196778,1.167400881
2007-08,Charlotte Bobcats,18.4,25.8,5.8,21.7,19,92.76,23.3937,27.81371281,1.188940092
2007-08,Chicago Bulls,18.7,24.7,5.7,21.8,19.2,94.06,23.1767,26.25983415,1.133027523
2007-08,Cleveland Cavaliers,18,25.1,4.7,20.9,18.7,91.08,22.9469,27.5581906,1.200956938
2007-08,Dallas Mavericks,20.6,25.3,4.4,21.8,20.5,91.4,23.8512,27.68052516,1.160550459
2007-08,Denver Nuggets,23.1,30.7,4.8,21.1,20.8,100.6,20.9742,30.51689861,1.454976303
2007-08,Detroit Pistons,18.4,24,3.9,20.6,18.9,88.55,23.2637,27.10333145,1.165048544
2007-08,Golden State Warriors,18.8,24.9,5,22.9,16.9,99.99,22.9023,24.90249025,1.087336245
2007-08,Houston Rockets,16.4,22.5,4.6,19.6,16.9,91.43,21.4372,24.60899048,1.147959184
2007-08,Indiana Pacers,19.1,24.9,5.1,23.4,18.4,98.65,23.7202,25.24075013,1.064102564
2007-08,Los Angeles Clippers,20.8,26.6,4.7,21.3,22.1,93.39,22.8076,28.48270693,1.248826291
2007-08,Los Angeles Lakers,21.3,27.7,4.5,20.6,19.6,96.72,21.2986,28.63937138,1.344660194
2007-08,Memphis Grizzlies,18.5,25.6,4.9,19.4,18.4,96.35,20.1349,26.56979761,1.319587629
2007-08,Miami Heat,16.9,23.2,4.2,20.4,18.5,91.27,22.3513,25.41908623,1.137254902
2007-08,Milwaukee Bucks,17.7,24.1,4.9,21.3,18.3,92.62,22.9972,26.02029799,1.131455399
2007-08,Minnesota Timberwolves,15.2,20.6,5.7,23,15.9,92.84,24.7738,22.18871176,0.8956521739
2007-08,New Jersey Nets,20.1,27.3,4.4,22.6,21,92.97,24.3089,29.36431107,1.207964602
2007-08,New Orleans Hornets,16,20.8,4,18.7,15.9,91.07,20.5337,22.83957395,1.112299465
2007-08,New York Knicks,18.6,25.5,5.2,21.5,19.2,92.81,23.1656,27.47548756,1.186046512
2007-08,Orlando Magic,20.1,27.9,4.2,20.6,19.3,94.03,21.9079,29.67138147,1.354368932
2007-08,Philadelphia 76ers,18.4,26.1,5.1,19.8,19,91.58,21.6204,28.49967242,1.318181818
2007-08,Phoenix Suns,18.9,24.1,3.8,19.9,17.2,97.74,20.3601,24.65725394,1.211055276
2007-08,Portland Trail Blazers,17.2,22.5,3.7,20,18.1,89.13,22.4391,25.24402558,1.125
2007-08,Sacramento Kings,22.1,27.7,5.5,22.4,21.6,95.84,23.3723,28.90233723,1.236607143
2007-08,San Antonio Spurs,16.5,21.6,4.4,18.7,17.3,89.74,20.8380,24.06953421,1.155080214
2007-08,Seattle SuperSonics,17.5,22.8,5.4,20.5,18,97.33,21.0624,23.42545978,1.112195122
2007-08,Toronto Raptors,16.4,20.2,4.1,19.5,16.4,91.36,21.3441,22.11033275,1.035897436
2007-08,Utah Jazz,21.3,28,5.1,24,20,94.64,25.3593,29.58579882,1.166666667
2007-08,Washington Wizards,19,24.3,4.4,19.6,19.2,90.88,21.5669,26.73855634,1.239795918
2008-09,Atlanta Hawks,18.7,25.4,19.6,20.5,19.1,90.45,22.6645,28.08181316,1.23902439
2008-09,Boston Celtics,19.4,25.3,23.1,22.2,19.2,91.19,24.3448,27.74427021,1.13963964
2008-09,Charlotte Bobcats,17.7,24,21.4,20.9,19,89.21,23.4279,26.90281359,1.148325359
2008-09,Chicago Bulls,19.9,25,20.8,20.8,19.5,94.13,22.0971,26.55901413,1.201923077
2008-09,Cleveland Cavaliers,18.6,24.5,20.3,20.3,18.5,89.62,22.6512,27.33764785,1.206896552
2008-09,Dallas Mavericks,18.5,22.6,19.5,20.1,18.2,92.7,21.6828,24.37971953,1.124378109
2008-09,Denver Nuggets,23.1,30.3,22.9,23.7,22.1,95.39,24.8454,31.76433588,1.278481013
2008-09,Detroit Pistons,16.9,22.5,20.9,19.7,18,88.04,22.3762,25.5565652,1.14213198
2008-09,Golden State Warriors,23.1,29.2,22.5,23.5,21.3,99.6,23.5944,29.31726908,1.242553191
2008-09,Houston Rockets,18.7,23.2,18.9,20.6,19,91.24,22.5778,25.4274441,1.126213592
2008-09,Indiana Pacers,18.6,23,23.1,20.6,17.7,97.36,21.1586,23.62366475,1.116504854
2008-09,Los Angeles Clippers,16.5,22.4,20.1,19.6,17.4,93.33,21.0008,24.00085717,1.142857143
2008-09,Los Angeles Lakers,19.6,25.5,20.7,22.1,18.3,95.5,23.1414,26.70157068,1.153846154
2008-09,Memphis Grizzlies,19.1,25.3,21.7,21.8,20.4,91.24,23.8930,27.7290662,1.160550459
2008-09,Miami Heat,17.2,22.8,20.7,19.9,17.5,90.83,21.9091,25.1018386,1.145728643
2008-09,Milwaukee Bucks,19.7,25.2,24.2,22.5,19.8,93.9,23.9617,26.8370607,1.12
2008-09,Minnesota Timberwolves,18.3,23.9,21.8,20,18.8,92.77,21.5587,25.76263878,1.195
2008-09,New Jersey Nets,18.8,24.1,22.4,20.5,19.2,91.14,22.4929,26.4428352,1.175609756
2008-09,New Orleans Hornets,18,22.4,20.3,20.4,18.8,88.75,22.9859,25.23943662,1.098039216
2008-09,New York Knicks,18.2,23.2,20.4,19.4,17.3,97.84,19.8283,23.71218316,1.195876289
2008-09,Oklahoma City Thunder,19.8,25.2,20.2,20.2,20.4,95.12,21.2363,26.49285114,1.247524752
2008-09,Orlando Magic,19.6,27.5,20.3,22.4,19.4,92.99,24.0886,29.57307237,1.227678571
2008-09,Philadelphia 76ers,20.1,27,20.1,21.8,20.7,91.33,23.8695,29.56312274,1.23853211
2008-09,Phoenix Suns,20.4,27.5,20.6,22.9,18.7,97,23.6082,28.35051546,1.200873362
2008-09,Portland Trail Blazers,18.5,24.2,20.4,21.1,18.7,88.05,23.9637,27.48438387,1.146919431
2008-09,Sacramento Kings,20.5,25.7,23.3,21.2,20.4,95.32,22.2409,26.96181284,1.212264151
2008-09,San Antonio Spurs,15.2,20,18.9,18.4,15.7,89.21,20.6255,22.41901132,1.086956522
2008-09,Toronto Raptors,18.7,22.7,19.4,20.1,18.9,93.28,21.5480,24.33533448,1.129353234
2008-09,Utah Jazz,22.1,28.7,22.3,24,21.4,94.5,25.3968,30.37037037,1.195833333
2008-09,Washington Wizards,18.2,23.8,20.5,20,19,92.26,21.6779,25.79666161,1.19
2009-10,Atlanta Hawks,17.7,23.3,19.9,19.3,17.4,90.79,21.2578,25.66361934,1.207253886
2009-10,Boston Celtics,19,25.5,22.1,21.7,19.2,92.23,23.5281,27.64827063,1.175115207
2009-10,Charlotte Bobcats,20,26.6,19.5,22,21,90.94,24.1918,29.25005498,1.209090909
2009-10,Chicago Bulls,18,23.9,20.1,20,18.5,94.05,21.2653,25.41201489,1.195
2009-10,Cleveland Cavaliers,19.1,26.6,19.4,20.8,18.7,91.78,22.6629,28.9823491,1.278846154
2009-10,Dallas Mavericks,18.6,22.8,19.1,20.1,18.2,93.63,21.4675,24.3511695,1.134328358
2009-10,Denver Nuggets,23.6,30.6,22.5,23.7,22.2,95.64,24.7804,31.99498118,1.291139241
2009-10,Detroit Pistons,17.7,24.4,22.2,20.8,18.9,89.47,23.2480,27.27171119,1.173076923
2009-10,Golden State Warriors,19.9,25.4,23,21.4,18.3,101.52,21.0796,25.01970055,1.186915888
2009-10,Houston Rockets,19,24.7,20.9,22.4,18.6,94.93,23.5963,26.01917202,1.102678571
2009-10,Indiana Pacers,19.1,24.6,22.5,20.8,18.9,97.78,21.2722,25.15851912,1.182692308
2009-10,Los Angeles Clippers,16.6,22.8,19.3,19.4,17.4,93.45,20.7598,24.39807384,1.175257732
2009-10,Los Angeles Lakers,18.5,24.2,19.4,21.2,18.2,93.76,22.6109,25.8105802,1.141509434
2009-10,Memphis Grizzlies,19.7,26.9,20.2,22.4,19.2,94.33,23.7464,28.51690872,1.200892857
2009-10,Miami Heat,17.7,23.5,20.9,20,18.3,90.34,22.1386,26.01284038,1.175
2009-10,Milwaukee Bucks,15.4,20.4,22.2,20.3,15.8,92.65,21.9104,22.01834862,1.004926108
2009-10,Minnesota Timberwolves,17.5,23.5,20.7,20.6,17.8,97.15,21.2043,24.18939784,1.140776699
2009-10,New Jersey Nets,19.2,24.6,20,20.1,20.8,92.66,21.6922,26.54867257,1.223880597
2009-10,New Orleans Hornets,15.8,20.3,19.6,19.5,15.7,93.54,20.8467,21.70194569,1.041025641
2009-10,New York Knicks,16.8,21.5,20,19.2,16.4,95.05,20.1999,22.61967386,1.119791667
2009-10,Oklahoma City Thunder,21.7,27,21.3,21.4,21.4,94.15,22.7297,28.67764206,1.261682243
2009-10,Orlando Magic,19.2,26.5,19.9,22.2,18.7,92.56,23.9844,28.63007779,1.193693694
2009-10,Philadelphia 76ers,16.7,22,20.5,18.7,17,92.74,20.1639,23.7222342,1.176470588
2009-10,Phoenix Suns,19.9,25.8,20.9,21.8,18,96.43,22.6071,26.75515918,1.183486239
2009-10,Portland Trail Blazers,19.6,24.8,20.9,21.5,20,88.66,24.2499,27.97202797,1.153488372
2009-10,Sacramento Kings,17.4,24,22.3,20.1,17.4,94.81,21.2003,25.31378547,1.194029851
2009-10,San Antonio Spurs,17.8,24,20.4,20.4,17.5,92.26,22.1114,26.01344028,1.176470588
2009-10,Toronto Raptors,19.7,25.8,22.2,21.1,19,93.96,22.4564,27.45849298,1.222748815
2009-10,Utah Jazz,20.2,27.2,22.7,22.2,19.4,94.68,23.4474,28.72834812,1.225225225
2009-10,Washington Wizards,17.6,23.1,21.4,20.5,18.3,92.62,22.1334,24.94061758,1.126829268
2010-11,Atlanta Hawks,16.4,21.1,19,18.5,17.3,90.23,20.5032,23.38468359,1.140540541
2010-11,Boston Celtics,17.8,23.1,20.5,20.2,18.4,90.94,22.2124,25.40136354,1.143564356
2010-11,Charlotte Bobcats,18.4,24.4,20,21.1,19.8,90.3,23.3666,27.02104097,1.156398104
2010-11,Chicago Bulls,18.2,24.5,20,20.1,18.4,91.23,22.0322,26.85520114,1.218905473
2010-11,Cleveland Cavaliers,18.9,25.3,20.1,21.3,19.8,93.76,22.7176,26.9837884,1.187793427
2010-11,Dallas Mavericks,17.5,22.6,19.2,20.1,17.5,92.24,21.7910,24.50130095,1.124378109
2010-11,Denver Nuggets,22.7,29.6,21,22.7,21.1,96.07,23.6286,30.81086708,1.303964758
2010-11,Detroit Pistons,16.7,22.6,19.9,18.8,17.2,89.83,20.9284,25.15863297,1.20212766
2010-11,Golden State Warriors,15.7,20.7,22,18.4,15.2,95.87,19.1927,21.59173881,1.125
2010-11,Houston Rockets,20.3,25.4,20,21.4,19.2,95.15,22.4908,26.69469259,1.186915888
2010-11,Indiana Pacers,19.4,24.8,21.7,21.4,19.5,95.53,22.4013,25.96043128,1.158878505
2010-11,Los Angeles Clippers,18.9,26.7,21.1,22.1,19.1,93.36,23.6718,28.59897172,1.208144796
2010-11,Los Angeles Lakers,18.8,24.1,19,20.7,18.5,91.79,22.5515,26.2555834,1.164251208
2010-11,Memphis Grizzlies,18.1,24.2,20.8,21.4,18.1,92.44,23.1502,26.17914323,1.130841121
2010-11,Miami Heat,21.5,27.9,20.4,21.8,21,91.66,23.7835,30.43857735,1.279816514
2010-11,Milwaukee Bucks,17.4,22.9,20.5,20.7,18.9,90.58,22.8527,25.2815191,1.106280193
2010-11,Minnesota Timberwolves,18.5,24.1,22.3,20.9,18.3,97.53,21.4293,24.71034553,1.153110048
2010-11,New Jersey Nets,17.4,22.9,22,20,18.5,90.74,22.0410,25.23694071,1.145
2010-11,New Orleans Hornets,17.7,23.1,21,20.4,18.7,89.42,22.8137,25.83314695,1.132352941
2010-11,New York Knicks,20.6,25.5,21.3,20.8,19.3,96.47,21.5611,26.43308801,1.225961538
2010-11,Oklahoma City Thunder,24.1,29.3,22.4,21.5,23,93.88,22.9016,31.21005539,1.362790698
2010-11,Orlando Magic,17.7,25.6,20,21.8,17.9,91.56,23.8095,27.95980778,1.174311927
2010-11,Philadelphia 76ers,17.4,22.6,19.4,18.8,17.6,92.81,20.2564,24.35082426,1.20212766
2010-11,Phoenix Suns,18,23.6,20.3,21.2,17.1,95.24,22.2596,24.77950441,1.113207547
2010-11,Portland Trail Blazers,18,22.4,19.3,21.3,18.7,89.15,23.8923,25.12619181,1.051643192
2010-11,Sacramento Kings,17.7,24.2,22,21,17.9,95.78,21.9252,25.26623512,1.152380952
2010-11,San Antonio Spurs,18.5,24.2,19,20.7,17.9,93.35,22.1746,25.92394215,1.169082126
2010-11,Toronto Raptors,18.2,24.1,22,19.8,18.4,93.78,21.1132,25.69844316,1.217171717
2010-11,Utah Jazz,19.4,25.1,22.7,22,19.5,92.05,23.9001,27.26778924,1.140909091
2010-11,Washington Wizards,18.2,24.4,22.6,20.3,18.7,94.78,21.4180,25.74382781,1.201970443
2011-12,Atlanta Hawks,15.5,21,17.8,19.1,16.1,90.92,21.0075,23.09722833,1.09947644
2011-12,Boston Celtics,15.4,19.8,19.9,18.4,16.8,91.13,20.1909,21.7272029,1.076086957
2011-12,Charlotte Bobcats,16.5,22.2,18.9,20.3,19,91.88,22.0940,24.16195037,1.093596059
2011-12,Chicago Bulls,15.2,21.1,17.3,17.7,15.8,90,19.6667,23.44444444,1.192090395
2011-12,Cleveland Cavaliers,17.8,24.9,20,20.9,19.2,92.35,22.6313,26.96264212,1.19138756
2011-12,Dallas Mavericks,15.6,20.2,18.6,18.4,16.3,92.64,19.8618,21.80483592,1.097826087
2011-12,Denver Nuggets,19.6,26.7,19.7,22,18.8,95.06,23.1433,28.08752367,1.213636364
2011-12,Detroit Pistons,16.6,22.1,19.6,19.4,18.3,90.33,21.4768,24.46584745,1.139175258
2011-12,Golden State Warriors,14.4,18.7,21.4,16.6,14.7,93.8,17.6972,19.93603412,1.126506024
2011-12,Houston Rockets,15.4,19.7,20.4,18.4,15.7,92.85,19.8169,21.21701669,1.070652174
2011-12,Indiana Pacers,20.4,26.1,21.7,21.6,20.9,91.69,23.5576,28.46548151,1.208333333
2011-12,Los Angeles Clippers,15.8,23.3,21.2,21.2,16.2,89.99,23.5582,25.89176575,1.099056604
2011-12,Los Angeles Lakers,18.2,24.1,16.8,20.2,18.7,91.75,22.0163,26.26702997,1.193069307
2011-12,Memphis Grizzlies,17.3,22.8,19.9,19.3,18.2,91.84,21.0148,24.82578397,1.18134715
2011-12,Miami Heat,18.8,24.2,19.4,20.5,19,92.09,22.2608,26.27864046,1.180487805
