Player (46 of 158),Pos.,Age,Type,From,To,Yrs,Dollars,Avg. Salary,2018 Cap Hit
Ramon Sessions,PG,32,UFA,WAS,TBD,-,0-,0-,0-
Shabazz Muhammad,SF,25,UFA,MIL,TBD,-,0-,0-,0-
Wade Baldwin,PG,22,RFA,POR,TBD,-,0-,0-,0-
Yogi Ferrell,PG,25,RFA,DAL,TBD,-,0-,0-,0-
Travis Wear,PF,27,UFA,LAL,TBD,-,0-,0-,0-
Aaron Harrison,SG,23,UFA,DAL,TBD,-,0-,0-,0-
Josh Magette,PG,19,UFA,ATL,TBD,-,0-,0-,0-
Jabari Bird,SG,24,RFA,BOS,TBD,-,0-,0-,0-
Jordan Crawford,SG,29,UFA,NOP,TBD,-,0-,0-,0-
Damion Lee,G,25,UFA,ATL,TBD,-,0-,0-,0-
Jonathan Gibson,PG,30,UFA,BOS,TBD,-,0-,0-,0-
Andre Ingram,G,32,UFA,LAL,TBD,-,0-,0-,0-
Lorenzo Brown,PG,27,UFA,TOR,TBD,-,0-,0-,0-
David Stockton,PG,27,RFA,UTH,TBD,-,0-,0-,0-
Amile Jefferson,PF,25,UFA,MIN,TBD,-,0-,0-,0-
Ryan Arcidiacono,PG,24,RFA,CHI,TBD,-,0-,0-,0-
Xavier Munford,PG,26,RFA,MIL,TBD,-,0-,0-,0-
Marshall Plumlee,PF,25,RFA,MIL,TBD,-,0-,0-,0-
Isaiah Hicks,PF,23,RFA,NYK,TBD,-,0-,0-,0-
Georges Niang,SF,25,RFA,UTH,TBD,-,0-,0-,0-
Torrey Craig,SF,27,RFA,DEN,TBD,-,0-,0-,0-
Malcolm Miller,SF,25,RFA,TOR,TBD,-,0-,0-,0-
Nando De Colo,PG,31,RFA,TOR,TBD,-,0-,0-,0-
Derrick Walton Jr.,G,23,RFA,MIA,TBD,-,0-,0-,0-
Darrun Hilliard II,SF,25,RFA,SAS,TBD,-,0-,0-,0-
Charles Cooke,G,24,UFA,NOP,TBD,-,0-,0-,0-
Jamel Artis,SF,25,UFA,ORL,TBD,-,0-,0-,0-
JaKarr Sampson,SG,25,RFA,SAC,TBD,-,0-,0-,0-
Jack Cooley,PF,27,UFA,SAC,TBD,-,0-,0-,0-
Tyrone Wallace,PG,24,RFA,LAC,TBD,-,0-,0-,0-
Milton Doyle,G,24,RFA,BKN,TBD,-,0-,0-,0-
Markel Brown,SG,26,RFA,HOU,TBD,-,0-,0-,0-
Marcus Paige,PG,24,UFA,CHA,TBD,-,0-,0-,0-
Totals,,,,,,85,"$1,189,907,045","$13,998,906","$431,377,261"
