Player,Team,Type
"Joseph, Cory",IND,UFA*
"Kanter, Enes",NYK,UFA*
"Kornet, Luke",NYK,RFA^
"Koufos, Kosta",SAC,UFA*
"Larkin, Shane",BOS,UFA
"Lauvergne, Joffrey",SAS,UFA*
"LaVine, Zach",CHI,RFA
"Lawson, Ty",WAS,UFA
"Lee, Damion",ATL,RFA
"Len, Alex",PHX,UFA
"Looney, Kevon",GSW,UFA
"Lopez, Brook",LAL,UFA
"Mack, Shelvin",ORL,UFA
"Magette, Josh",ATL,RFA^
"Matthews, Wesley",DAL,UFA*
"Mbah a Moute, Luc",HOU,UFA
"McCaw, Patrick",GSW,RFA
"McConnell, T.J.",PHI,RFA**
"McCree, Erik",UTA,RFA^
"McCullough, Chris",WAS,UFA
"McDermott, Doug",DAL,RFA
"McGee, JaVale",GSW,UFA
"Meeks, Jodie",WAS,UFA*
"Mejri, Salah",DAL,RFA
"Mickey, Jordan",MIA,RFA**
"Miller, Malcolm",TOR,RFA^
"Mirotic, Nikola",NOP,UFA**
"Monroe, Greg",BOS,UFA
"Moore, Ben",IND,RFA^
"Muhammad, Shabazz",MIL,UFA
"Munford, Xavier",MIL,RFA^
"Muscala, Mike",ATL,UFA*
"Napier, Shabazz",POR,RFA
"Nelson, Jameer",DET,UFA
"Neto, Raul",UTA,RFA
"Niang, Georges",UTA,RFA^
"Noel, Nerlens",DAL,UFA
"Nogueira, Lucas",TOR,RFA
"Nowitzki, Dirk",DAL,UFA**
"Nurkic, Jusuf",POR,RFA
"Nwaba, David",CHI,RFA
"O'Quinn, Kyle",NYK,UFA*
"Okafor, Jahlil",BKN,UFA
"Pachulia, Zaza",GSW,UFA
"Paige, Marcus",CHA,RFA^
"Parker, Jabari",MIL,RFA
"Parker, Tony",SAS,UFA
"Paul, Chris",HOU,UFA
"Payton II, Gary",LAL,RFA^
"Payton, Elfrid",PHX,RFA
"Perkins, Kendrick",CLE,UFA
"Perrantes, London",CLE,UFA
"Peters, Alec",PHX,RFA^
"Plumlee, Marshall",MIL,RFA^
"Quarterman, Tim",HOU,UFA
"Randle, Julius",LAL,RFA
"Redick, JJ",PHI,UFA
"Rivers, Austin",LAC,UFA*
"Robinson III, Glenn",IND,UFA
"Rondo, Rajon",NOP,UFA
"Rose, Derrick",MIN,UFA
"Sampson, JaKarr",SAC,RFA^
"Scott, Mike",WAS,UFA
"Sessions, Ramon",WAS,UFA
"Shumpert, Iman",SAC,UFA*
"Smart, Marcus",BOS,RFA
"Smith, Jason",WAS,UFA*
"Speights, Marreese",ORL,UFA
"Stauskas, Nik",BKN,RFA
"Stephenson, Lance",IND,UFA
"Temple, Garrett",SAC,UFA*
"Teodosic, Milos",LAC,RFA*
"Terry, Jason",MIL,UFA
"Thomas, Isaiah",LAL,UFA
"Tolliver, Anthony",DET,UFA
"VanVleet, Fred",TOR,RFA
"Vonleh, Noah",CHI,RFA
"Wade, Dwyane",MIA,UFA
"Wallace, Tyrone",LAC,RFA^
"Walton Jr., Derrick",MIA,RFA^
"Wear, Travis",LAL,RFA
"Webb III, James",BKN,RFA^
"West, David",GSW,UFA
"White III, Andrew",ATL,RFA^
"Wilcox, CJ",POR,RFA^
"Young, James",PHI,UFA
"Young, Joe",IND,RFA**
"Young, Nick",GSW,UFA
"Young, Thaddeus",IND,UFA*
